State,County,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,Percent_Excessive_Drinking,Percent_Uninsured,Primary_Care_Physicians_Rate,Dentist_Rate,Mental_Health_Provider_Rate,Preventable_Hospitalization_Rate,Percent_Vaccinated,High_School_Graduation_Rate,Percent_Some_College,Percent_Unemployed,Percent_Single_Parent_Households,Social_Association_Rate,Violent_Crime_Rate,Polution_Average_Daily_PM2.5,Presence_of_Water_Violation,Percent_Severe_Housing_Problems,Percent_Drive_Alone_to_Work,Percent_Long_Commute,Percent_Adults_with_Diabetes,Percent_Limited_Access_to_Healthy_Foods,Median_Household_Income,Rate_100000,Rate_Level,Area_Name,POP_ESTIMATE
AL,Autauga,21,4.7,4.7,18,33,7.2,35,69,15,9,45,32,23,7108,41,90,62,3.6,26,12.1,272,11.7,0,15,87,40,11,12,59338,422.0222222,4,Autauga,55869
AL,Baldwin,18,4.2,4.3,17,31,8.0,27,74,18,11,73,50,96,4041,44,86,67,3.6,24,10.2,204,10.3,0,14,84,42,11,5,57588,321.5705882,2,Baldwin,223234
AL,Barbour,30,5.4,5.2,22,42,5.6,24,53,13,12,32,36,8,6209,37,81,35,5.2,57,7.5,414,11.5,0,15,83,32,18,11,34382,461.1444444,4,Barbour,24686
AL,Bibb,19,4.6,4.6,19,38,7.8,34,16,16,10,49,22,22,5961,38,84,44,4.0,29,8.4,89,11.2,0,10,85,50,15,3,46064,393.0363636,3,Bibb,22394
AL,Blount,22,4.9,4.9,19,34,8.4,30,16,14,13,22,19,16,4060,39,93,53,3.5,29,8.4,483,11.7,0,11,86,59,17,3,50412,387.4818182,3,Blount,57826
AL,Bullock,31,5.4,4.9,23,37,4.3,25,3,12,11,29,20,20,6632,28,70,35,4.7,75,7.8,311,11.2,0,18,79,46,24,20,29267,404.8666667,3,Bullock,10101
AL,Butler,28,5.4,5.3,22,43,6.6,40,49,12,11,25,30,51,9203,35,82,42,4.8,53,9.1,582,10.6,1,13,84,32,19,3,37365,493.0666666999999,4,Butler,19448
AL,Calhoun,23,4.9,4.8,21,39,6.9,32,48,14,12,64,59,116,6581,38,92,59,4.7,40,14.5,756,11.8,0,14,85,31,18,9,45400,615.0,4,Calhoun,113605
AL,Chambers,24,4.9,4.9,19,40,6.4,30,62,13,12,42,18,6,5622,42,86,48,3.9,47,17.8,529,11.4,0,16,85,32,20,10,39917,419.72222220000003,4,Chambers,33254
AL,Cherokee,21,4.8,4.7,17,35,8.3,31,33,14,11,39,15,19,5521,41,95,52,3.6,24,8.5,330,11.4,0,13,83,46,15,0,42132,553.3888889,4,Cherokee,26196
AL,Chilton,21,4.8,4.9,20,38,8.1,33,46,15,14,20,29,52,6148,42,88,40,3.6,35,15.2,508,11.2,0,13,84,50,19,1,47547,547.1777778,4,Chilton,44428
AL,Choctaw,25,4.9,5.0,19,41,6.4,36,29,12,11,39,47,0,4968,34,79,58,5.5,48,19.3,128,10.1,1,11,82,44,17,7,39907,556.9888889,4,Choctaw,12589
AL,Clarke,25,5.1,5.1,21,34,5.4,35,25,12,12,54,29,71,6299,28,91,38,7.5,37,16.2,475,10.4,0,12,88,35,22,11,40741,461.6,4,Clarke,23622
AL,Clay,24,5.0,5.0,20,41,7.8,33,64,13,14,37,15,15,5249,43,90,35,3.9,30,10.5,309,10.6,1,11,90,37,14,2,39201,565.2777778,4,Clay,13235
AL,Cleburne,19,4.5,4.9,18,37,8.0,31,41,14,13,27,0,40,6416,34,98,45,4.2,25,8.1,103,11.0,0,13,81,56,13,2,46495,579.4777778,4,Cleburne,14910
AL,Coffee,19,4.4,4.6,17,34,7.5,31,54,15,12,54,35,65,4863,37,93,64,3.9,36,14.7,276,10.9,0,12,87,27,16,6,55122,483.5,4,Coffee,52342
AL,Colbert,21,4.6,4.6,19,31,7.4,37,56,15,10,64,46,35,6414,45,92,55,4.6,36,16.9,400,10.7,0,14,90,28,16,7,49055,516.8222222,4,Colbert,55241
AL,Conecuh,29,5.4,5.4,21,43,5.6,41,37,12,12,40,16,65,12070,44,80,36,5.2,51,7.2,387,10.3,0,13,89,34,26,13,32613,449.6222222,4,Conecuh,12067
AL,Coosa,25,5.1,5.1,20,40,6.9,35,6,13,13,0,0,9,4956,39,83,43,4.2,40,10.2,255,11.0,1,15,84,41,21,10,42423,471.21111110000004,4,Coosa,10663
AL,Covington,23,4.7,4.9,19,32,7.6,36,50,14,12,51,38,65,9181,39,95,54,4.6,36,12.7,331,10.5,0,13,88,29,15,4,40203,462.19,4,Covington,37049
AL,Crenshaw,22,4.7,4.9,19,38,6.2,34,22,15,12,14,14,58,7057,36,89,45,4.1,41,10.1,332,10.7,0,10,82,41,18,17,39057,471.04444440000003,4,Crenshaw,13772
AL,Cullman,22,4.7,4.9,18,37,8.2,37,42,15,13,56,49,135,6442,41,91,50,3.3,25,11.7,129,11.6,0,12,88,33,19,3,45796,469.6777778,4,Cullman,83768
AL,Dale,23,5.0,4.8,20,37,6.7,32,46,15,10,18,35,94,5120,41,90,58,4.2,33,10.6,437,11.0,0,14,86,25,16,11,45309,469.6555556,4,Dale,49172
AL,Dallas,30,5.6,5.6,24,43,4.6,27,60,11,10,74,31,60,7183,34,86,51,6.5,68,12.0,925,11.1,0,21,86,27,16,12,34035,586.0,4,Dallas,37196
AL,DeKalb,26,5.3,5.0,21,29,8.2,32,45,12,17,42,28,27,5868,40,93,46,3.8,34,8.5,312,11.3,0,11,86,32,13,2,39491,522.29,4,DeKalb,71513
AL,Elmore,19,4.3,4.7,17,34,7.6,26,52,16,9,26,16,17,6334,39,86,55,3.4,31,10.9,239,11.9,0,11,87,46,16,7,60367,415.03333330000004,4,Elmore,81209
AL,Escambia,26,5.2,5.2,22,39,6.6,32,48,13,14,35,38,57,7412,35,88,38,4.6,46,14.4,446,10.2,0,12,92,29,19,7,38418,371.9333333,3,Escambia,36633
AL,Etowah,21,4.9,4.8,20,36,7.1,34,49,14,12,81,52,121,7421,36,90,55,4.1,37,15.8,604,11.5,0,11,85,29,16,9,44903,539.2,4,Etowah,102268
AL,Fayette,22,4.9,5.0,18,41,7.9,34,34,14,11,97,30,12,5911,45,92,52,4.1,36,7.9,0,10.6,1,12,86,41,23,1,39254,496.3777778,4,Fayette,16302
AL,Franklin,25,5.2,5.2,19,34,7.9,38,58,13,15,44,26,10,8122,38,92,41,3.7,42,9.5,264,10.5,0,13,83,38,15,4,39388,503.2333333000001,4,Franklin,31362
AL,Geneva,23,5.0,5.0,20,39,7.8,37,20,14,14,30,8,19,6845,46,90,43,3.9,41,8.7,414,10.6,0,10,84,41,17,1,37823,462.9,4,Geneva,26271
AL,Greene,34,5.9,5.5,25,36,3.2,18,6,10,11,48,12,12,7121,30,78,50,6.7,77,9.6,669,10.5,0,19,82,42,15,21,28524,530.9222222,4,Greene,8111
AL,Hale,28,5.4,5.3,22,40,6.1,28,30,11,11,20,14,14,6986,33,91,47,5.1,59,6.1,209,10.8,0,17,88,50,18,5,34724,512.0222222,4,Hale,14651
AL,Henry,21,4.7,4.8,18,36,7.9,35,25,14,12,29,29,12,4872,42,98,53,4.4,25,14.0,197,10.9,0,11,87,37,17,2,46027,443.8888888999999,4,Henry,17205
AL,Houston,20,4.7,4.8,19,38,7.1,31,67,14,11,84,67,144,4859,45,91,59,4.0,42,12.0,488,10.7,0,13,88,26,14,6,47993,397.25555560000004,3,Houston,105882
AL,Jackson,23,5.0,5.1,20,39,7.9,29,47,13,13,54,35,46,5903,42,90,45,4.1,31,9.1,317,11.0,0,11,86,37,17,3,41929,492.31,4,Jackson,51626
AL,Jefferson,20,4.4,4.7,18,35,6.3,30,79,15,10,108,88,177,4653,44,89,68,3.7,43,14.4,873,13.4,0,17,84,33,13,12,55013,272.4466667,1,Jefferson,658573
AL,Lamar,24,5.2,5.1,20,36,7.8,37,10,13,12,0,22,14,5184,40,94,53,3.8,21,7.9,162,10.3,0,11,88,45,19,1,40936,489.46666669999996,4,Lamar,13805
AL,Lauderdale,20,4.7,4.8,17,33,7.6,29,65,14,11,51,55,155,5323,49,94,59,4.2,33,14.8,269,11.0,0,13,88,29,14,5,48707,452.6111111000001,4,Lauderdale,92729
AL,Lawrence,22,4.9,5.0,20,33,8.0,36,49,14,14,15,9,124,7507,40,88,48,4.2,30,13.6,260,11.3,0,11,87,46,19,2,43909,503.9333333000001,4,Lawrence,32924
AL,Lee,21,4.5,4.6,18,30,6.4,21,68,16,10,53,30,86,4208,42,91,73,3.6,36,8.0,416,12.1,1,19,84,28,9,12,48937,336.6727273,2,Lee,164542
AL,Limestone,20,4.5,4.8,18,34,8.1,29,61,15,11,34,27,48,5987,46,92,59,3.5,26,9.1,160,11.8,0,11,88,41,14,4,64863,415.93,4,Limestone,98915
AL,Lowndes,30,5.5,5.2,23,47,4.6,34,5,10,11,10,0,0,5247,32,91,35,7.3,68,6.0,671,10.9,0,19,86,62,14,13,33973,432.13333330000006,4,Lowndes,9726
AL,Macon,30,5.4,5.3,21,50,4.0,32,31,11,11,37,27,407,5948,33,80,56,5.5,60,6.9,734,11.7,1,20,84,37,23,22,32495,511.83333330000005,4,Macon,18068
AL,Madison,19,4.4,4.7,17,33,7.5,22,69,16,9,88,54,144,5439,45,93,73,3.5,30,10.8,611,11.6,0,12,88,26,14,7,63755,283.4466667,1,Madison,372909
AL,Marengo,26,5.3,5.2,21,42,5.5,32,43,12,10,36,26,37,4803,33,91,51,5.0,44,17.0,449,10.6,0,18,89,33,18,13,37733,585.1333333,4,Marengo,18863
AL,Marion,22,4.9,4.9,19,37,7.9,31,47,14,11,34,17,10,8236,39,90,56,4.1,26,10.4,296,10.5,1,11,86,30,20,3,37887,567.5,4,Marion,29709
AL,Marshall,22,5.0,5.1,21,34,8.0,36,54,14,16,55,35,243,6189,43,92,52,3.4,34,10.3,286,11.8,0,14,85,31,12,5,46233,460.8454545,4,Marshall,96774
AL,Mobile,22,4.5,5.2,19,36,6.4,31,70,15,12,67,51,92,6431,41,84,60,4.7,44,11.7,548,10.8,1,17,86,37,14,10,43598,360.2411765,3,Mobile,413210
AL,Monroe,30,5.7,5.3,23,42,5.0,34,52,11,13,38,24,85,5990,37,88,41,6.2,56,12.7,492,10.4,0,11,92,32,18,13,39556,370.34,3,Monroe,20733
AL,Montgomery,24,5.0,4.7,20,38,5.5,29,74,14,11,98,74,144,6020,38,82,62,4.0,52,15.0,532,11.9,0,18,85,21,14,15,49640,289.1916667,2,Montgomery,226486
AL,Morgan,21,4.6,4.7,19,32,7.9,27,59,14,12,49,52,144,6098,44,90,56,3.5,31,12.5,181,11.6,0,13,89,35,13,4,52797,449.78,4,Morgan,119679
AL,Perry,35,6.4,5.9,26,43,4.9,35,53,10,11,32,22,33,5342,23,93,55,6.5,76,10.7,381,10.7,0,18,84,38,16,5,26814,566.7111111,4,Perry,8923
AL,Pickens,27,5.2,5.0,21,35,7.1,26,6,12,12,40,15,15,6592,46,98,53,4.6,43,9.9,166,10.5,0,14,82,53,15,1,37586,481.86666669999994,4,Pickens,19930
AL,Pike,25,5.1,5.1,21,36,6.2,28,51,15,13,48,27,48,5568,38,87,60,4.5,46,10.5,564,11.0,0,16,84,26,12,6,37259,388.74444439999996,3,Pike,33114
AL,Randolph,21,4.8,4.9,19,37,7.2,34,41,14,13,31,13,26,3494,33,92,50,4.0,39,9.3,196,11.0,0,15,85,40,17,7,40546,597.2444444,4,Randolph,22722
AL,Russell,25,5.0,5.0,22,45,6.6,32,64,13,11,26,26,42,5042,40,88,61,4.0,46,10.0,505,12.1,0,17,87,38,19,6,39104,410.85,4,Russell,57961
AL,St. Clair,19,4.5,4.6,18,37,8.4,31,42,15,10,17,29,20,6284,39,88,55,3.5,26,8.6,299,12.0,0,11,87,54,14,2,57284,391.6333333,3,St. Clair,89512
AL,Shelby,16,4.0,4.1,16,35,8.6,25,84,17,8,81,51,80,5125,44,94,76,2.9,19,11.1,264,12.0,0,11,86,47,11,4,75663,276.0076923,1,Shelby,217702
AL,Sumter,34,5.9,5.4,22,43,4.6,38,36,11,11,55,16,16,5643,28,77,57,5.9,59,9.5,435,10.4,0,23,85,43,21,10,27859,483.04444440000003,4,Sumter,12427
AL,Talladega,23,4.8,5.0,23,39,7.0,35,48,14,10,31,29,19,5467,34,93,52,4.3,46,12.4,469,11.5,0,13,85,34,16,6,41630,483.7444444,4,Talladega,79978
AL,Tallapoosa,23,4.8,5.0,18,36,7.2,30,69,13,12,49,27,30,4305,43,90,50,4.2,44,14.0,639,11.4,0,17,87,36,16,4,42205,467.4333333000001,4,Tallapoosa,40367
AL,Tuscaloosa,20,4.5,5.0,18,35,7.1,30,76,16,9,72,48,132,5853,44,89,64,3.7,38,11.1,402,11.3,0,17,86,25,12,6,52557,411.42,4,Tuscaloosa,209355
AL,Walker,24,5.2,5.4,23,40,7.5,36,44,14,12,41,47,46,6561,40,90,53,4.2,32,14.7,450,11.6,0,12,85,40,14,5,45434,534.4272727,4,Walker,63521
AL,Wilcox,29,5.5,5.2,22,48,2.5,37,6,11,11,37,9,9,4464,23,83,39,9.6,61,6.5,645,10.4,0,13,88,37,20,30,25385,600.0333333,4,Wilcox,10373
AL,Winston,21,4.8,5.0,20,38,8.0,32,76,14,13,42,17,8,13447,40,93,53,4.2,32,9.3,107,11.0,1,10,82,43,20,3,41156,464.45555559999997,4,Winston,23629
AZ,Apache,26,5.6,5.3,22,34,2.0,27,19,13,19,32,65,89,5244,38,73,49,10.1,51,3.5,109,5.7,1,32,77,39,17,47,33652,286.9583333,1,Apache,71887
AZ,Cochise,18,4.2,4.3,15,30,6.8,25,60,15,10,55,55,121,3324,33,88,65,5.6,36,8.4,333,7.5,1,16,79,22,11,14,49164,265.0944444,1,Cochise,125922
AZ,Coconino,16,4.2,4.2,16,24,6.1,17,83,17,13,85,76,207,2370,39,82,70,5.5,37,9.4,357,5.6,1,25,69,16,8,14,60187,233.97857140000002,1,Coconino,143476
AZ,Gila,19,4.5,4.5,18,31,6.2,27,92,16,13,47,56,65,3501,38,75,50,5.9,44,9.7,574,5.8,0,16,80,18,15,16,43585,267.03333330000004,1,Gila,54018
AZ,Graham,19,4.4,4.2,18,35,6.3,23,56,17,10,59,66,42,2766,38,86,55,5.1,35,4.8,109,6.0,0,17,80,16,10,19,50157,266.7875,1,Graham,38837
AZ,Greenlee,18,3.7,3.8,14,29,5.8,22,46,18,9,53,21,11,2571,29,90,56,4.3,34,5.3,41,5.7,0,12,88,12,12,31,65818,288.4538462,2,Greenlee,9498
AZ,La Paz,22,4.5,4.5,16,30,6.2,40,39,13,20,29,43,81,4251,27,84,41,6.2,54,4.4,264,5.7,1,14,73,13,14,19,37350,321.65,2,La Paz,21108
AZ,Maricopa,16,3.6,3.8,14,27,7.7,20,92,18,12,70,67,135,3050,47,78,65,4.1,34,5.3,409,10.6,1,18,76,38,9,4,65234,242.7833333,1,Maricopa,4485414
AZ,Mohave,19,4.4,4.8,19,32,5.8,32,59,16,13,49,40,71,4000,38,78,48,5.8,43,5.6,221,5.1,1,17,80,18,14,20,45129,365.4166667,3,Mohave,212181
AZ,Navajo,24,5.0,5.2,21,34,4.6,29,56,14,15,62,64,79,3413,39,78,52,7.8,43,6.8,281,5.7,1,25,73,24,15,25,40650,275.95,1,Navajo,110924
AZ,Pima,17,3.9,4.0,15,25,7.5,20,88,17,11,84,63,183,2929,47,73,67,4.5,40,6.3,470,7.9,1,20,77,35,8,8,53395,265.3611111,1,Pima,1047279
AZ,Pinal,20,4.2,4.2,16,33,7.6,29,66,16,11,16,31,71,3118,42,81,53,5.0,33,3.4,221,11.7,1,15,78,52,13,7,58848,235.6222222,1,Pinal,462789
AZ,Santa Cruz,27,4.5,4.4,15,27,7.8,20,67,14,14,50,26,34,2337,34,90,53,9.3,41,4.1,140,7.6,1,23,85,25,8,13,40545,271.3333333,1,Santa Cruz,46498
AZ,Yavapai,15,4.1,4.5,17,23,6.8,23,85,17,13,62,65,187,2246,42,82,60,4.5,31,8.9,300,5.1,1,17,76,28,11,13,48758,256.4888889,1,Yavapai,235099
AZ,Yuma,23,4.1,3.7,13,37,6.8,26,84,18,14,47,29,57,3604,39,89,55,17.0,31,4.6,330,8.0,1,18,82,20,14,10,44116,253.05,1,Yuma,213787
AR,Ashley,24,4.8,4.9,20,43,6.0,47,50,13,9,39,40,75,7550,44,90,53,5.5,35,13.8,321,9.6,1,12,84,22,15,12,41127,490.2333333000001,4,Ashley,19657
AR,Baxter,19,4.4,4.7,16,34,7.7,30,65,13,8,75,53,274,4453,47,86,62,4.1,32,9.7,182,9.7,0,10,84,15,17,4,39686,361.78333330000004,3,Baxter,41932
AR,Benton,16,3.8,4.0,17,29,8.2,24,77,18,10,60,41,224,3144,51,90,62,2.9,23,8.6,275,10.4,1,11,85,21,9,5,68978,296.40625,2,Benton,279141
AR,Boone,21,4.4,4.6,20,34,7.0,30,54,14,9,75,53,117,3839,46,93,59,3.5,27,10.7,551,9.4,1,12,81,23,15,10,44482,501.25,4,Boone,37432
AR,Bradley,28,5.2,4.9,22,46,6.5,41,67,13,12,55,37,28,7001,50,90,47,4.5,45,12.0,261,9.8,0,18,81,29,16,5,37729,577.3222222,4,Bradley,10763
AR,Calhoun,24,4.8,4.7,21,29,4.6,37,11,13,8,38,0,0,4115,35,92,53,3.9,45,13.3,211,9.7,0,12,89,32,17,33,44969,484.6,4,Calhoun,5189
AR,Carroll,22,4.7,4.5,18,28,8.1,34,52,13,13,57,28,78,3898,42,82,45,3.2,23,13.2,337,9.4,0,16,82,25,9,4,45023,357.475,3,Carroll,28380
AR,Chicot,30,5.2,5.0,23,39,2.9,36,29,11,9,103,67,594,7061,26,87,47,6.9,52,8.5,367,10.0,0,17,81,25,10,33,31787,520.3333333,4,Chicot,10118
AR,Clark,24,4.8,4.7,19,27,5.1,38,67,15,7,45,50,254,4252,49,84,62,3.8,39,15.3,329,10.1,1,15,77,28,15,21,45408,482.22222220000003,4,Clark,22320
AR,Clay,23,4.9,4.9,20,43,7.1,32,52,14,9,13,40,67,6965,31,93,50,4.4,46,14.7,221,10.8,1,13,84,32,15,4,37687,462.24285710000004,4,Clay,14551
AR,Cleburne,20,4.4,4.6,17,37,7.6,34,66,14,9,56,36,88,4667,44,92,46,4.5,29,15.2,367,10.1,0,11,82,33,12,3,44902,423.6875,4,Cleburne,24919
AR,Cleveland,22,4.7,4.7,19,36,7.0,33,1,15,9,12,0,0,5769,44,96,51,3.9,33,7.3,95,9.8,0,8,84,54,17,6,47600,560.1444444,4,Cleveland,7956
AR,Columbia,27,5.2,5.0,20,36,5.9,34,42,14,8,59,42,187,5337,46,91,57,4.8,46,14.0,317,9.8,1,10,85,18,16,7,40909,456.8,4,Columbia,23457
AR,Conway,22,4.7,4.7,19,37,6.9,38,43,14,9,67,38,254,4012,27,86,51,4.4,34,14.3,211,10.2,1,14,81,38,19,6,44565,442.4333333000001,4,Conway,20846
AR,Craighead,23,4.8,4.9,21,38,6.7,34,65,15,8,116,74,383,5917,49,93,63,3.1,43,8.4,431,10.8,1,15,83,15,14,9,45615,504.6,4,Craighead,110332
AR,Crawford,20,4.7,4.8,19,35,7.4,31,74,14,10,40,17,50,4683,44,90,56,3.6,32,7.6,380,10.3,1,14,86,27,15,8,47363,368.1941176,3,Crawford,63257
AR,Crittenden,26,4.9,4.8,23,41,5.8,38,73,13,8,35,70,213,4890,39,89,55,4.3,53,9.2,1274,10.1,1,18,81,31,20,5,42606,357.3833333,3,Crittenden,47955
AR,Cross,24,4.8,4.8,20,39,6.7,37,50,13,9,42,48,84,6557,40,92,48,4.2,40,17.2,664,10.2,0,13,83,31,17,6,41214,507.0777778,4,Cross,16419
AR,Dallas,23,4.5,4.5,19,39,5.5,45,18,12,8,41,28,237,4796,32,87,50,4.4,40,20.3,597,9.9,0,10,79,40,8,18,37259,485.9222222,4,Dallas,7009
AR,Desha,32,5.6,5.2,24,38,4.1,37,60,11,10,43,26,61,8575,38,87,40,4.5,50,17.0,730,10.0,1,15,85,25,14,20,36132,681.1,4,Desha,11361
AR,Drew,25,5.0,4.8,21,41,5.8,30,40,14,8,70,22,606,10206,43,88,67,5.0,27,10.8,362,9.8,0,16,82,26,19,11,42494,550.9888889,4,Drew,18219
AR,Faulkner,21,4.3,4.6,21,35,7.2,30,55,18,8,49,38,139,3918,48,93,67,3.3,27,9.1,361,10.6,0,15,84,37,10,6,53882,347.0,2,Faulkner,126007
AR,Franklin,22,4.8,4.8,21,34,7.4,37,66,14,9,28,17,6,5538,48,97,59,3.6,17,10.6,427,9.8,1,15,82,43,13,4,43696,426.525,4,Franklin,17715
AR,Fulton,22,4.8,4.9,20,28,6.5,30,44,12,10,58,16,49,6902,38,98,63,4.0,29,6.6,184,9.7,0,14,82,30,14,12,35630,410.96666669999996,4,Fulton,12477
AR,Garland,20,4.6,4.8,19,30,6.6,35,78,14,10,88,58,262,4743,54,85,61,4.0,43,11.0,645,9.9,0,17,79,21,15,11,43610,392.75,3,Garland,99386
AR,Grant,20,4.5,4.4,18,36,7.8,39,27,16,6,11,38,99,4963,54,89,55,3.1,33,9.9,254,10.0,0,13,85,49,17,4,52050,412.64444439999994,4,Grant,18265
AR,Greene,20,4.5,4.6,20,36,7.0,33,40,16,7,58,31,190,5782,45,96,54,3.5,36,11.1,379,10.8,0,12,85,28,15,9,46512,466.4,4,Greene,45325
AR,Hempstead,27,5.1,4.9,22,29,5.8,36,64,12,11,27,37,101,5911,41,82,55,3.6,41,10.5,628,10.1,1,16,82,21,18,14,38682,503.66666669999995,4,Hempstead,21532
AR,Hot Spring,20,4.6,4.6,20,36,7.2,38,25,16,8,21,24,196,5591,54,92,52,3.8,35,10.4,230,10.2,0,13,84,41,18,7,47205,432.4111111,4,Hot Spring,33771
AR,Howard,26,4.9,5.0,22,45,5.7,30,10,13,12,45,22,82,5791,45,97,54,3.5,41,13.4,154,10.0,1,12,79,26,13,21,40199,515.4333333000001,4,Howard,13202
AR,Independence,23,4.7,4.9,20,29,7.2,30,51,15,8,77,40,173,5283,44,88,59,4.1,37,13.9,496,10.2,0,13,81,17,14,7,45596,576.0555555999999,4,Independence,37825
AR,Izard,20,4.6,4.6,20,35,7.7,31,50,14,10,37,29,59,6526,38,97,52,5.5,21,13.2,221,9.8,0,13,78,26,13,1,37828,427.65,4,Izard,13629
AR,Jackson,25,5.0,5.0,22,43,6.0,33,36,14,9,41,36,89,6959,49,89,45,6.2,43,10.5,692,10.2,1,14,82,28,24,10,36573,554.1555556,4,Jackson,16719
AR,Jefferson,26,5.0,4.7,21,41,5.4,34,53,13,7,68,44,220,4960,41,81,49,5.3,54,14.3,1009,10.4,0,17,87,20,16,7,38596,568.6,4,Jefferson,66824
AR,Johnson,24,4.8,4.7,21,40,7.6,29,61,14,11,56,26,258,4187,48,91,39,4.5,30,8.3,244,9.8,0,15,79,18,13,3,39381,446.75,4,Johnson,26578
AR,Lafayette,25,4.9,4.8,20,46,5.8,45,14,12,11,29,0,60,6579,30,93,51,5.2,47,10.2,178,9.7,1,16,81,35,29,9,35527,449.0222222,4,Lafayette,6624
AR,Lawrence,21,4.6,4.7,19,32,6.3,31,43,15,8,30,30,201,7665,25,89,58,3.9,32,9.7,227,10.4,1,12,85,40,9,16,40308,501.8,4,Lawrence,16406
AR,Lee,29,5.2,4.9,25,39,3.4,33,43,13,9,11,33,11,7217,34,80,36,4.8,50,12.0,294,10.1,1,17,79,30,16,27,28080,523.3222222,4,Lee,8857
AR,Lincoln,25,4.6,4.5,22,33,5.7,40,39,15,9,15,15,149,6493,42,95,31,4.3,26,8.1,155,10.0,0,15,85,43,16,17,44951,573.4222222,4,Lincoln,13024
AR,Little River,24,4.9,4.8,21,38,6.8,35,62,13,9,24,41,16,5371,46,85,50,5.3,43,12.9,144,10.1,1,8,87,45,21,5,43559,507.2,4,Little River,12259
AR,Logan,22,4.9,4.8,20,33,7.3,35,73,14,10,18,41,28,5631,33,92,49,4.0,30,12.9,380,9.9,1,10,81,36,18,5,41471,417.8,4,Logan,21466
AR,Lonoke,19,4.2,4.3,19,43,7.5,33,47,16,7,16,27,50,5364,49,91,61,3.2,27,8.5,340,10.7,1,13,88,50,13,7,56651,407.78,3,Lonoke,73309
AR,Madison,22,4.7,4.7,21,35,7.0,31,48,15,11,18,24,152,5305,43,88,35,2.9,23,4.3,188,9.2,0,11,83,56,12,12,42674,399.3181818,3,Madison,16576
AR,Marion,20,4.6,4.8,20,29,7.2,30,19,13,10,12,18,12,5431,35,92,53,4.1,33,7.9,342,9.4,1,13,79,32,17,7,36581,379.4166667,3,Marion,16694
AR,Miller,23,4.8,4.8,21,34,5.8,40,65,14,8,73,32,227,5478,43,87,56,4.8,49,10.0,537,10.1,1,15,86,19,12,14,42162,414.84,4,Miller,43257
AR,Monroe,28,5.3,5.1,22,39,5.7,37,57,11,8,42,58,14,6706,26,90,40,4.3,66,9.9,371,10.1,1,16,77,31,17,6,32922,527.2666667,4,Monroe,6701
AR,Montgomery,22,4.6,4.7,18,29,6.9,24,98,13,11,22,22,22,4727,29,93,45,4.8,31,5.6,219,9.5,1,11,82,43,19,11,38318,459.96666669999996,4,Montgomery,8986
AR,Newton,22,4.7,4.8,19,32,6.2,26,59,13,10,0,0,26,2774,27,80,43,3.4,20,5.1,316,8.9,1,18,79,42,11,21,36078,469.61666669999994,4,Newton,7753
AR,Ouachita,27,5.3,5.1,23,38,5.2,34,42,12,7,50,42,169,5116,48,91,56,4.7,51,19.3,620,9.9,0,16,87,27,15,14,37624,497.27777779999997,4,Ouachita,23382
AR,Perry,20,4.5,4.6,19,33,7.4,28,46,15,9,10,0,0,3981,43,91,54,4.2,30,7.7,519,10.0,1,8,79,64,15,6,45342,401.49,3,Perry,10455
AR,Phillips,33,5.6,5.3,24,43,2.4,40,13,10,7,54,33,55,7250,25,86,57,6.1,61,11.3,1192,10.2,1,19,80,23,19,31,29945,474.7,4,Phillips,17782
AR,Pike,22,4.7,4.7,20,34,7.0,37,51,14,12,28,37,28,5971,30,87,56,4.2,30,12.1,142,9.8,1,13,77,47,14,11,41534,496.28888889999996,4,Pike,10718
AR,Poinsett,24,5.0,4.9,22,42,5.7,40,34,14,10,17,17,279,6884,44,82,45,3.8,51,10.8,348,10.5,0,13,83,32,21,19,37370,570.0555555999999,4,Poinsett,23528
AR,Polk,24,5.0,5.2,20,34,5.7,31,60,13,13,70,40,85,4818,35,90,52,4.2,32,13.9,297,9.4,0,17,77,23,13,20,39048,497.58,4,Polk,19964
AR,Pope,22,4.8,4.6,19,34,7.2,32,68,16,11,64,45,225,5216,46,91,53,4.5,30,13.3,372,10.2,1,14,84,17,11,6,45788,381.2875,3,Pope,64072
AR,Prairie,22,4.5,4.7,19,44,5.8,47,41,14,9,12,12,25,6015,33,88,63,3.9,31,14.5,170,10.2,1,12,77,40,15,20,43245,542.7444444,4,Prairie,8062
AR,Pulaski,19,4.0,4.0,18,33,6.2,30,84,15,8,117,75,426,4776,50,80,69,3.5,46,15.7,1060,10.8,0,16,83,20,12,10,49957,309.52666669999996,2,Pulaski,391911
AR,Randolph,22,4.7,4.9,20,35,6.3,33,41,14,9,57,39,89,5443,38,93,62,4.0,40,5.7,295,10.2,1,13,82,34,19,15,37799,492.05,4,Randolph,17958
AR,St. Francis,28,5.0,4.9,24,43,4.5,40,62,13,8,46,35,322,5509,42,81,44,5.2,59,10.0,777,10.2,1,14,82,26,18,15,33257,513.5888888999999,4,St. Francis,24994
AR,Saline,15,3.7,4.0,16,30,7.9,27,59,17,8,44,29,133,5006,53,93,68,3.1,28,7.5,352,10.6,1,9,85,41,13,6,63677,333.0090909,2,Saline,122437
